Quem venceu a Bola de Ouro masculina de 2024?,Rodri,Vinicius Junior,Bellingham,1
Qual pais sediara a Copa do Mundo de 2026?,Franca,Brasil,EUA Mexico e Canada,3
Quem interpretou o Homem de Ferro no cinema?,Chris Evans,Robert Downey Jr,Chris Hemsworth,2
Qual super-heroi e conhecido como o Cavaleiro das Trevas?,Superman,Batman,Flash,2
Qual e a formula da agua?,CO2,H2O,NaCl,2
Quanto e 7 vezes 8?,54,56,58,2
Qual pais foi colonizado por Portugal na America do Sul?,Argentina,Brasil,Chile,2
Em que ano começou a Primeira Guerra Mundial?,1914,1939,1918,1
Qual bilionario comprou a rede social Twitter?,Jeff Bezos,Mark Zuckerberg,Elon Musk,3
O que significa a sigla IA?,Inteligencia Artificial,Internet Avancada,Interface Ativa,1
Qual influenciador brasileiro e o maior canal do YouTube do pais?,Whindersson Nunes,Felipe Neto,KondZilla,2
Em qual copa o Brasil conquistou o Penta?,1994,1998,2002,3
Quem e o vilao principal de Vingadores Guerra Infinita?,Thanos,Loki,Ultron,1
Qual e o planeta mais proximo do Sol?,Terra,Marte,Mercurio,3
Quem proclamou a Independencia do Brasil?,Dom Pedro I,Marechal Deodoro,Dom Pedro II,1
Qual time venceu a Champions League 2023/24?,Real Madrid,Borussia Dortmund,Manchester City,1
Qual rede social bateu recordes de usuarios in 2023 com a Meta?,Threads,TikTok,BeReal,1
Qual heroi da Marvel e conhecido como o Amigao da Vizinhanca?,Thor,Homem-Aranha,Demolidor,2
Se x + 5 = 12 quanto vale x?,5,7,8,2
Qual e o maior oceano do planeta?,Atlantico,Indico,Pacifico,3
Quem e o maior artilheiro da historia das Copas do Mundo?,Cristiano Ronaldo,Miroslav Klose,Pele,2
Qual desastre natural atingiu fortemente o Rio Grande do Sul em 2024?,Terremoto,Enchente historica,Tornado,2
Qual empresa de tecnologia desenvolveu o ChatGPT?,Google,Microsoft,OpenAI,3
Quem pintou a Mona Lisa?,Vicent Van Gogh,Leonardo da Vinci,Pablo Picasso,2
Qual e a raiz quadrada de 144?,10,12,14,2
